Item ID,Price
3 X LgStylo3 Glass1,0.59 
3 x MotoG6 Play Glass,0.60 
3 X MotoZ2 Play Glass,0.57 
3 X Note 4 Glass,0.47 
3 X Note 8 Glass,0.74 
3 X Note 9 Glass,0.77 
3 x Revvl Plus Glass,0.59 
3 X S9 Glass,0.75 
3 X zte z982 glass,0.59 
3 x ZTEX4 Glass1,0.64 
30mm_10,0.75 
30mm_3,0.30 
33 in 1 9 oz,0.50 
33 in 1 hand tool,0.50 
3x IP 10 Black Zinc,0.60 
3X IP 6 Glass,0.40 
3X IP 6s Glass,0.40 
3X IP 7Plus Glass Gold,0.60 
3X IP 7Plus Glass Red,0.60 
3X IP 7Plus Glass RGold,0.60 
3X IP 7Plus Glass White,0.60 
3X IP 8 Glass Black,0.60 
3X IP 8 Glass Gold,0.60 
3X IP 8 Glass Red,0.60 
3X IP 8 Glass RGold,0.60 
3X IP 8 Glass White,0.60 
3X IP 8Plus Glass Black,0.60 
3X IP 8Plus Glass Gold,0.60 
3X IP 8Plus Glass Red,0.60 
3X IP 8Plus Glass RGold,0.60 
3X IP 8Plus Glass White,0.60 
3x IP X Glass Silver,0.60 
3x IP X Glass White,0.60 
3x IP Xs Black Glass,0.60 
3x IP Xs white Glass,0.60 
3x IphoneX Black Glass,0.60 
3x J32017 Glass1,0.45 
3x J32017 Glass2,0.45 
3x J32017 Glass3,0.45 
3x J32017 Glass4,0.45 
3x J32017 Glass5,0.45 
3X J32018 Glass5,0.45 
3X J32018 Glass7,0.45 
3x J72018 Glass,0.60 
3x J72018 Glass 2,0.60 
3x J7207 Glass,0.45 
3x J7207 Glass1,0.45 
3x J7207 Glass2,0.45 
3x J7207 Glass3,0.45 
3x J7207 Glass4,0.45 
3x J7207 Glass5,0.45 
3x J7207 Glass6,0.45 
3x J7207 Glass7,0.45 
3X LG Stylo 4 Clear Glass1,0.45 
3X LGQ7 Glass 1,0.60 
3X LGXPower2 Glass,0.60 
3X MotoE4 Glass,0.59 
3X MotoE4 Plus Glass,0.59 
4 X LgStylo3 Glass,0.67 
4 X LgStylo3 Glass1,0.67 
4 X Note 8 Glass,0.89 
4 x Revvl Plus Glass,0.69 
4 X s7 edge Glass,0.87 
4 X S9 Plus Glass,0.87 
4 x ZTEX4 Glass,0.69 
4 x ZTEX4 Glass1,0.69 
40mm knob 20,1.95 
40mm knob_10,1.05 
40mm knob_12,1.30 
40mm knob_3,0.35 
40mm knob_5,0.60 
40mm knob_7,0.80 
40mm knob_8,0.90 
40mm_5,0.60 
4X MotoE4 Glass,0.67 
7 Plus Bumper Pink Tpu,0.35 
7 Plus Bumper Tpu Clear,0.25 
AlcatelA30 BB1,0.40 
AlcatelA30 BB1+Glass,0.50 
AlcatelA30 BB2,0.40 
AlcatelA30 BB3,0.40 
AlcatelA30 Com Black,0.40 
AlcatelA30 Com Black+Glass,0.49 
AlcatelA30 Com Black1,0.40 
AlcatelA30 Com Black1 +Glass,0.49 
AlcatelA30 Com Black2 +Glass,0.49 
AlcatelA30 Com Blue +Glass,0.49 
AlcatelA30 Com Blue1 +Glass,0.49 
AlcatelA30 Com Blue2,0.40 
AlcatelA30 Com Blue2 +Glass,0.49 
AlcatelA30 Com Red +Glass,0.49 
AlcatelA30 Com Red1 +Glass,0.49 
AlcatelA30 Com Red2 +Glass,0.49 
AlcatelA30 PL + Glass,0.49 
AlcatelA30 PL1,0.40 
AlcatelA30 PL1+Glass,0.50 
AlcatelA30 PL3,0.40 
AlcatelA30 PL3+Glass,0.50 
AlcatelA30 RF1,0.40 
AlcatelA30 RF2,0.40 
AlcatelA30 RF3,0.40 
AlcatelVerso COM Black,0.40 
AlcatelVerso COM Black1,0.40 
AlcatelVerso COM Black1+Glass,0.49 
AlcatelVerso COM Black2+Glass,0.49 
AlcatelVerso COM Blue,0.40 
AlcatelVerso COM Blue+Glass,0.49 
AlcatelVerso COM Blue1,0.40 
AlcatelVerso COM Blue1+Glass,0.49 
AlcatelVerso COM Red+Glass,0.49 
AlcatelVerso COM Red1,0.40 
AlcatelVerso Fus Black,0.40 
AlcatelVerso Fus Black1,0.40 
AlcatelVerso Fus Black2+Glass,0.49 
AlcatelVerso Fus Blue,0.40 
AlcatelVerso Fus Blue+Glass,0.49 
AlcatelVerso Fus Blue1,0.40 
AlcatelVerso Fus Blue1+Glass,0.49 
AlcatelVerso Fus Red,0.40 
AlcatelVerso Fus Red+Glass,0.49 
AlcatelVerso Fus Red1,0.40 
AlcatelVerso Fus Red1+Glass,0.49 
AlcatelVerso Fus Red2+Glass,0.49 
alcatelZip Black1+Glass,0.49 
alcatelZip Black2,0.40 
alcatelZip Black2+Glass,0.49 
alcatelZip Black3,0.40 
alcatelZip Black3+Glass,0.49 
alcatelZip Blue,0.40 
alcatelZip Blue1+Glass,0.49 
alcatelZip Blue2,0.40 
alcatelZip Blue2+Glass,0.49 
alcatelZip Blue3,0.40 
alcatelZip Blue3+Glass,0.49 
alcatelZip grey+Glass,0.49 
alcatelZip grey1+Glass,0.49 
alcatelZip grey2,0.40 
alcatelZip grey2+Glass,0.49 
alcatelZip grey3+Glass,0.49 
alcatelZip Pink1,0.40 
alcatelZip Pink2+Glass,0.49 
alcatelZip Pink3+Glass,0.49 
alcatelZip Purple,0.40 
alcatelZip Purple1+Glass,0.49 
alcatelZip Purple2,0.40 
alcatelZip Purple2+Glass,0.49 
alcatelZip Purple3+Glass,0.49 
AlcVerso COM Black+Glass,0.49 
AlcVerso COM Black1+Glass,0.49 
AlcVerso COM Blue+Glass,0.49 
AlcVersoCOM Blue1+Glass,0.49 
AlcVersoCOM Red+Glass,0.49 
AlcVersoCOM Red1+Glass,0.49 
AlcVersoCOM Red2+Glass,0.49 
AscendXt Brus Black,0.39 
bluetooth reveiver,1.19 
Cd,0.95 
cd/dvd room,0.95 
Door Pull _10,0.73 
Door Pull _15,0.98 
Door Pull _3,0.30 
Door Pull _5,0.50 
Galaxy Note 4 Glass,0.30 
Galaxy Note 5 Glass,0.30 
Galaxy Note 9 Boo,0.40 
galaxy note8 clear tpu,0.29 
Galaxy S6 clear Tpu,0.29 
galaxy S6 edge Clear Tpu,0.29 
galaxy s6 glass,0.35 
galaxy S7 Clear Tpu,0.29 
Galaxy S7 Com Bk,0.40 
Galaxy S7 Edge Com Bk,0.40 
Galaxy S8 Plus Clear Tpu,0.29 
GalaxyS6 Bitbisss,0.40 
GalaxyS6 Clear Tpu,0.29 
GalaxyS6 edge Clear Tpu,0.29 
GalaxyS6 Edge Tpu Clear,0.29 
GalaxyS6 PL,0.40 
GalaxyS6 RF,0.40 
GalaxyS6 RF+Glass,0.49 
GalaxyS6 Tpu Clear,0.29 
GalaxyS6 WB,0.40 
GalaxyS7 Clear Tpu,0.29 
galaxys7 com black,0.40 
GalaxyS7 Com Black+Glass,0.49 
GalaxyS7 Com Blue+Glass,0.49 
galaxys7 com Red,0.40 
GalaxyS7 Com Red+Glass,0.49 
GalaxyS7 Combo Red,0.44 
GalaxyS7 Edge Clear Tpu,0.29 
GalaxyS7 Edge Tpu Clear,0.29 
GalaxyS7 Tpu Clear,0.29 
galaxys7Edge com Black,0.40 
galaxys7Edge com blue,0.40 
galaxys7Edge com Red,0.40 
